Name_Evr,Name_Fun,Time,Epoch,Best_Fit,Std,Optimum,Parameters
IWO,easom_function,0.05208015441894531,10,-0.9999975407790175,2.4592209825202715e-06,-1.0,NO
IWO,ackley_function,0.03439736366271973,10,0.004034707816945371,0.004034707816945371,0.0,NO
IWO,ackley_function_3,0.03211331367492676,10,-184.74268032144192,10.886347916977087,-195.629028238419,NO
IWO,keane_function,0.033521175384521484,10,-0.28766098948341556,0.38600653166343946,-0.673667521146855,NO
IWO,michaelwicz_function,0.030910968780517578,10,-1.8012821230360365,1.7876963963381343e-05,-1.8013,NO
IWO,rosenbrook_function,0.030246734619140625,10,1.6444767087770464e-05,1.6444767087770464e-05,0.0,NO
IWO,nonsmooth_multipeak_function,0.031047821044921875,10,0.0,0.0,0.0,NO
IWO,brown_function,0.03148078918457031,10,0.002132573064548472,0.002132573064548472,0.0,NO
IWO,levin_function_13,0.03651094436645508,10,5.511663318322182e-06,5.511663318322182e-06,0.0,NO
IWO,bird_function,0.034501075744628906,10,-106.7877073667404,0.02317036674040196,-106.764537,NO
IWO,schwefel_function,0.05915188789367676,10,312.4459106965037,312.4459106965037,0.0,NO
IWO,brent_function,0.032377004623413086,10,1.1296332042353052e-07,1.1296332042353052e-07,0.0,NO
IWO,deckkers_aarts_function,0.030936002731323242,10,-24776.469325137026,5.375575137026317,-24771.09375,NO
IWO,xin_she_yang_function_4,0.039811134338378906,10,-1.9994965623459362,0.0005034376540637986,-2.0,NO
IWO,eggholder_function,0.0331721305847168,10,-612.3848474668001,347.2558525331999,-959.6407,NO
IWO,shubert_function,0.04040789604187012,10,-186.7292795267453,0.001620473254689614,-186.7309,NO
IWO,schaffer_function,0.031625986099243164,10,0.003056660553503787,0.003056660553503787,0.0,NO
IWO,shubert_function_4,0.04269075393676758,10,-25.74162840067826,0.0007704006782596196,-25.740858,NO
IWO,drop_wave_function,0.030984878540039062,10,-0.9362453277931503,0.06375467220684972,-1.0,NO
IWO,cross_in_tray_function,0.03626203536987305,10,-2.0626117202045458,1.720204545918591e-06,-2.06261,NO
IWO,composite_xin_she_yang_4_schwefel_function,0.0478971004486084,10,249.13914843555042,7.084386197675485e-07,249.1391477271118,NO
IWO,composite_cross_in_tray_drop_wave_function,0.03739285469055176,10,-1.26871108721663,1.1364101668576154e-06,-1.268712223626797,NO
IWO,composite_schaffer_drop_wave_function,0.03470897674560547,10,-0.7478742739783943,0.0521257260216057,-0.8,NO
IWO,composite_shubert_function,0.055624961853027344,10,-92.54677025650693,0.00012294427035897115,-92.54689320077729,NO
IWO,composite_shubert_4_levin_function_13,0.0494539737701416,10,-10.015767345481986,3.1122989098299794,-13.128066255311966,NO
IWO,easom_function,0.026942968368530273,10,-8.743020603401579e-12,0.999999999991257,-1.0,NO
IWO,ackley_function,0.03178882598876953,10,4.884087399306576,4.884087399306576,0.0,NO
IWO,ackley_function_3,0.030529022216796875,10,-174.7096835174357,20.919344720983304,-195.629028238419,NO
IWO,keane_function,0.031455039978027344,10,-0.6736671792192468,3.41927608227266e-07,-0.673667521146855,NO
IWO,michaelwicz_function,0.03080296516418457,10,-1.8012989396338706,1.0603661293462352e-06,-1.8013,NO
IWO,rosenbrook_function,0.03465008735656738,10,8.677496396352445e-05,8.677496396352445e-05,0.0,NO
IWO,nonsmooth_multipeak_function,0.03122711181640625,10,0.0,0.0,0.0,NO
IWO,brown_function,0.029727935791015625,10,7.415213649452797e-07,7.415213649452797e-07,0.0,NO
IWO,levin_function_13,0.03676199913024902,10,5.047472655946881e-05,5.047472655946881e-05,0.0,NO
IWO,bird_function,0.033944129943847656,10,-106.7876463055475,0.02310930554749291,-106.764537,NO
IWO,schwefel_function,0.03176712989807129,10,355.15972143798865,355.15972143798865,0.0,NO
IWO,brent_function,0.030986309051513672,10,5.412254279814955e-09,5.412254279814955e-09,0.0,NO
IWO,deckkers_aarts_function,0.031055927276611328,10,-24776.51238532512,5.418635325120704,-24771.09375,NO
IWO,xin_she_yang_function_4,0.03962206840515137,10,-1.9987077229780827,0.0012922770219172541,-2.0,NO
IWO,eggholder_function,0.03425002098083496,10,-685.3127169113069,274.32798308869314,-959.6407,NO
IWO,shubert_function,0.04199719429016113,10,-186.72937495288298,0.0015250471170134006,-186.7309,NO
IWO,schaffer_function,0.03202080726623535,10,9.279326196320881e-10,9.279326196320881e-10,0.0,NO
IWO,shubert_function_4,0.04110884666442871,10,-25.74151430777805,0.0006563077780512572,-25.740858,NO
IWO,drop_wave_function,0.031165122985839844,10,-0.9362453091847021,0.06375469081529794,-1.0,NO
IWO,cross_in_tray_function,0.03668403625488281,10,-2.062611850116377,1.8501163769890638e-06,-2.06261,NO
IWO,composite_xin_she_yang_4_schwefel_function,0.04853487014770508,10,249.13914803239928,3.052874717468512e-07,249.1391477271118,NO
IWO,composite_cross_in_tray_drop_wave_function,0.037687063217163086,10,-1.2687014241287637,1.0799498033176036e-05,-1.268712223626797,NO
IWO,composite_schaffer_drop_wave_function,0.03035902976989746,10,-0.799992613241945,7.386758055005771e-06,-0.8,NO
IWO,composite_shubert_function,0.05543971061706543,10,-92.54648661189019,0.0004065888871025436,-92.54689320077729,NO
IWO,composite_shubert_4_levin_function_13,0.050267934799194336,10,-11.908232154299185,1.219834101012781,-13.128066255311966,NO
IWO,easom_function,0.024135351181030273,10,-9.104034034655502e-09,0.9999999908959659,-1.0,NO
IWO,ackley_function,0.03136801719665527,10,8.813173039096824,8.813173039096824,0.0,NO
IWO,ackley_function_3,0.031199932098388672,10,-100.0449087376535,95.58411950076551,-195.629028238419,NO
